window_start,window_id,collector,adj_eig_ratio_1_2,innermost_core_size,kirchhoff_index,rich_club_p75,rich_club_p90,rich_club_p95,symmetry_ratio,as_path_avg,as_path_max,edit_distance_avg,edit_distance_max,unique_as_path_max,flaps,nadas,vf_rate_delta,ego_filter_ratio,ego_origin_violations,ego_valley_free_paths_total,std_edge_ixp_cosine_dist,unique_peers,assortativity,betweenness_centrality,clustering_avg_local,core_std,degeneracy,eigenvector_centrality,frac_p2p_edges,n_customers,number_rare_ases,pagerank,rich_club_p25,avg_edge_ixp_cosine_dist,avg_ixp_cosine_dist,as_path_std,edit_distance_dict_0,ego_avg_violation_depth,ego_max_violation_depth,ego_valley_free_violations,ann_wd_ratio,new_prefixes,origin_changes
2025-11-04 17:10:00+00:00,20251104_1710,rrc04,1.2410329383549958,9,76993.09860666718,0.08091908091908091,0.21937321937321938,0.2,16.0,6.1415094339622645,8,1.6595744680851063,7,6,0,64,0.042429,0.011541447072762185,0,77137,0.337188,9,-0.38127904497913895,0.14825960596892745,0.2761622244314937,1.327477813713819,7,0.11871905768792798,0.2277,19.0,9,0.016207590767972607,0.029725026105116605,0.368534,0.399932,0.6522099398182939,0,0.5191,0.8571,27024,0.23093681917211328,70,68
2025-11-04 17:15:00+00:00,20251104_1715,rrc04,1.2339363134771661,9,76981.56735546769,0.08125208125208125,0.22660098522167488,0.2,16.0,5.368421052631579,8,1.68,4,15,0,36,0.054123,0.015542263188860561,0,47747,0.337835,8,-0.3809289631661225,0.1482596059689275,0.27572682781962643,1.327477813713819,7,0.11872313345835674,0.2291,19.0,7,0.016203832792359582,0.02979463974939088,0.364927,0.399932,1.0327654934730421,1,0.5318,0.8571,22849,0.13620071684587814,61,5
2025-11-04 17:20:00+00:00,20251104_1720,rrc04,1.2410329383549958,9,76993.09860666718,0.08091908091908091,0.21937321937321938,0.2,16.0,6.252873563218391,9,1.437799043062201,4,10,43,42,0.053489,0.054388210684067566,0,48881,0.337188,8,-0.38127904497913895,0.14825960596892754,0.2761622244314937,1.327477813713819,7,0.11871905768792797,0.2277,19.0,12,0.016207590767972607,0.029725026105116605,0.368534,0.399932,0.7619496507786283,2,0.5203,0.8889,15473,0.24964131994261118,235,2
2025-11-04 17:25:00+00:00,20251104_1725,rrc04,1.240395932186578,9,77265.15038330648,0.08315789473684211,0.21937321937321938,0.2087912087912088,15.6,7.074958123953099,9,2.7890334572490705,4,13,1,43,0.054973,0.04225673275406846,0,63587,0.337188,9,-0.3858117244299747,0.14905758410061734,0.2802404058561612,1.329721873911769,7,0.11873919859879085,0.2201,19.0,1,0.01637113093001164,0.03044906900328587,0.368534,0.399932,0.7926089494300113,168,0.5451,0.8889,25468,2.107678729037952,10,226
2025-11-04 17:30:00+00:00,20251104_1730,rrc04,1.240395932186578,9,77265.15038330648,0.08315789473684211,0.21937321937321938,0.2087912087912088,15.6,4.590682196339435,9,0.7376543209876543,4,9,4,64,0.089768,0.03767431227615637,0,48583,0.337188,9,-0.3858117244299747,0.14905758410061734,0.2802404058561612,1.329721873911769,7,0.1187391985987908,0.2201,19.0,9,0.01637113093001164,0.03044906900328587,0.368534,0.399932,2.077718846274049,361,0.5098,0.875,23556,0.9464566929133859,374,24
2025-11-04 17:35:00+00:00,20251104_1735,rrc04,1.240395932186578,9,77265.15038330648,0.08315789473684211,0.21937321937321938,0.2087912087912088,15.6,6.612244897959184,8,2.193548387096774,5,7,0,69,0.049437,0.015479001097329831,0,49466,0.337188,9,-0.3858117244299747,0.14905758410061734,0.2802404058561612,1.329721873911769,7,0.11873919859879084,0.2201,19.0,4,0.01637113093001164,0.03044906900328587,0.368534,0.399932,1.133143241361028,5,0.514,0.8333,20313,0.05555555555555555,10,3
2025-11-04 17:40:00+00:00,20251104_1740,rrc04,1.240395932186578,9,77265.15038330648,0.08315789473684211,0.21937321937321938,0.2087912087912088,15.6,6.971489665003563,10,2.2659362549800797,6,9,0,63,0.056694,0.04726611662704517,0,45036,0.337188,8,-0.3858117244299747,0.14905758410061734,0.2802404058561612,1.329721873911769,7,0.11873919859879085,0.2201,19.0,2,0.01637113093001164,0.03044906900328587,0.368534,0.399932,1.9352683570599394,0,0.5304,0.8889,23741,1.0784012298232128,398,162
2025-11-04 17:45:00+00:00,20251104_1745,rrc04,1.2430818914587136,18,77261.09942550042,0.08315789473684211,0.22413793103448276,0.2087912087912088,15.6,5.971014492753623,9,1.3863636363636365,3,8,1,57,0.138665,0.02022582228767796,0,40785,0.337749,8,-0.38562577567874506,0.1490575841006174,0.27869583262484104,1.2304552403932307,6,0.11874071575760682,0.2201,19.0,7,0.01637107535020584,0.03044906900328587,0.367798,0.399932,1.4034727358859194,2,0.521,0.8,21583,0.05912596401028278,23,3
2025-11-04 17:50:00+00:00,20251104_1750,rrc04,1.2342752179010388,9,77286.37465992365,0.08280701754385965,0.21652421652421652,0.22794117647058823,15.6,3.1261648745519715,10,0.22541966426858512,5,14,2,32,0.041589,0.05188025729836714,0,64512,0.33815,9,-0.38674124317236175,0.15049867451770862,0.2571145013377592,1.329721873911769,7,0.12000669688465654,0.2205,19.0,6,0.016390248308433244,0.030376049653158085,0.369358,0.399932,0.7706017800111952,377,0.5064,0.8889,22832,0.4983922829581994,976,3
2025-11-04 17:55:00+00:00,20251104_1755,rrc04,1.2342752179010388,9,77286.37465992365,0.08280701754385965,0.21652421652421652,0.22794117647058823,15.6,3.195876288659794,8,1.4285714285714286,3,12,0,52,0.029337,0.024937042290213332,0,56098,0.33815,9,-0.38674124317236175,0.15049867451770854,0.2571145013377592,1.329721873911769,7,0.12000669688465655,0.2205,19.0,3,0.016390248308433244,0.030376049653158085,0.369358,0.399932,0.8182564845929658,6,0.5314,0.8,15465,0.2906367041198502,1,2
