window_start,window_id,collector,algebraic_connectivity,frac_p2p_edges,innermost_core_size,rich_club_p75,rich_club_p90,rich_club_p95,std_edge_ixp_cosine_dist,symmetry_ratio,as_path_avg,as_path_max,as_path_std,edit_distance_avg,edit_distance_dict_5,unique_as_path_max,origin_changes,unique_peers,vf_rate_delta,ego_origin_violations,adj_eig_ratio_1_2,clustering_avg_local,pagerank,avg_ixp_cosine_dist,n_edges_missing_ixp_data,avg_path_length,edit_distance_max,ego_filter_ratio,flaps,n_customers,nadas,number_rare_ases
2025-11-29 06:40:00+00:00,20251129_0640,rrc04,0.3229680839098913,0.2244,21,0.2347826086956521,0.5172413793103449,0.7619047619047619,0.201164,26.6,3.505430242272348,7,0.6784095800792272,1.327693677649154,0,30,99,7,-0.043432,0,2.784603461759347,0.5930263982200861,0.0515401599651184,0.390775,6,2.3958827650102816,4,0.0959565189508112,0,67.0,14,9
2025-11-29 06:45:00+00:00,20251129_0645,rrc04,0.3226952966641273,0.2245,21,0.2261345852895148,0.5147783251231527,0.7523809523809524,0.20084,26.6,4.090052356020943,7,1.060168639616257,2.068004459308807,1,30,50,8,0.033589,0,2.774537302061112,0.5923040979257528,0.0513677322397909,0.390785,6,2.3949406298399585,6,0.0195385490291656,0,67.0,0,4
2025-11-29 06:55:00+00:00,20251129_0655,rrc04,0.322960737757844,0.2234,21,0.2351966873706004,0.5147783251231527,0.7523809523809524,0.201013,27.0,3.2966542750929366,7,1.0150045977779392,1.950048971596474,2,33,88,8,-0.010183,0,2.7834811733522704,0.5920356272869468,0.0515324126977748,0.390775,6,2.395656791629946,5,0.0359621956428876,0,67.0,0,4
2025-11-29 07:00:00+00:00,20251129_0700,rrc04,0.3229684247937139,0.224,21,0.2356107660455486,0.5172413793103449,0.7619047619047619,0.201069,27.0,3.658716638273708,7,0.832537434185155,1.7403389830508476,0,28,68,8,0.00692,0,2.78570307092055,0.5930550521915021,0.0515272223828365,0.390775,6,2.3956341942919126,4,0.0351751779696504,0,67.0,0,6
2025-11-29 07:05:00+00:00,20251129_0705,rrc04,0.3229607377578437,0.2234,21,0.2351966873706004,0.5147783251231527,0.7523809523809524,0.201013,27.0,3.851385390428212,6,0.8614362885796474,1.745879120879121,1,28,42,9,0.012408,0,2.7834811733522704,0.5920356272869468,0.0515324126977748,0.390775,6,2.395656791629946,5,0.0210490355810164,0,67.0,0,7
2025-11-29 07:15:00+00:00,20251129_0715,rrc04,0.3227003471953673,0.225,21,0.2356107660455486,0.5172413793103449,0.7619047619047619,0.200887,27.0,3.541265474552957,7,0.8464427290426011,1.5488188976377952,3,28,96,8,0.00638,0,2.778933014875881,0.5942767217163001,0.0513563255322201,0.390785,6,2.3947161679872506,5,0.0331541828242284,0,67.0,0,8
2025-11-29 07:20:00+00:00,20251129_0720,rrc04,0.3229684247937139,0.224,21,0.2356107660455486,0.5172413793103449,0.7619047619047619,0.201069,27.0,3.747810858143608,7,0.858718001288264,1.805555555555556,1,27,55,9,-0.024739,0,2.78570307092055,0.5930550521915021,0.0515272223828365,0.390775,6,2.3956341942919126,6,0.0226805346832239,0,67.0,3,6
2025-11-29 07:25:00+00:00,20251129_0725,rrc04,0.3229684247937134,0.224,21,0.2356107660455486,0.5172413793103449,0.7619047619047619,0.201069,27.0,3.620262390670554,6,0.8250087661888039,1.3894736842105264,2,32,121,8,0.009892,0,2.78570307092055,0.5930550521915021,0.0515272223828365,0.390775,6,2.3956341942919126,5,0.0208021074624154,0,67.0,5,8
2025-11-29 07:30:00+00:00,20251129_0730,rrc04,0.3229637188371963,0.2232,21,0.2269170579029734,0.5147783251231527,0.7523809523809524,0.200926,27.0,3.727181544633902,6,0.90169039164781,1.8962795941375423,0,29,56,10,0.007897,0,2.782151428583825,0.5911498902543558,0.0515257408077862,0.390775,6,2.395611596953879,4,0.0169917976416122,0,67.0,7,10
2025-11-29 07:35:00+00:00,20251129_0735,rrc04,0.3229684247937137,0.224,21,0.2356107660455486,0.5172413793103449,0.7619047619047619,0.201069,27.0,3.555958862673926,7,0.8300040130896673,1.544349070100143,4,25,42,8,0.002624,0,2.78570307092055,0.5930550521915021,0.0515272223828365,0.390775,6,2.3956341942919126,5,0.0237078844831537,0,67.0,8,15
