window_start,window_id,collector,frac_p2p_edges,innermost_core_size,rich_club_p75,rich_club_p90,rich_club_p95,std_edge_ixp_cosine_dist,symmetry_ratio,unique_peers,as_path_max,edit_distance_dict_5,edit_distance_max,unique_as_path_max,flaps,nadas,origin_changes,ego_filter_ratio,ego_origin_violations,avg_ixp_cosine_dist,betweenness_skewness,clustering_avg_local,degeneracy,kirchhoff_index,median_edge_ixp_cosine_dist,spectral_gap,as_path_avg,as_path_std,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_6,ego_avg_violation_depth,ego_valley_free_violations,ego_vf_paths_frac,vf_rate_delta,new_prefixes,rich_club_p25,unique_prefixes_wd
2025-11-05 10:45:00+00:00,20251105_1045,rrc05,0.2419,27,0.2691228070175439,0.5725806451612904,0.7647058823529411,0.195287,33.0,15,7,10,5,72,50,752,27,0.0441159487238711,0,0.381354,13.235231812130229,0.5757219322576688,15,43487.72790248947,0.185362,21.127573236798504,3.553772070626003,1.3801566348714718,1.4470636326474997,1146,0,0.4924,18612,0.669402,0.0255,130,0.0622391069837249,1372
2025-11-05 10:50:00+00:00,20251105_1050,rrc05,0.2432,27,0.2680701754385965,0.5705645161290323,0.7647058823529411,0.195387,33.0,14,8,9,5,67,27,777,21,0.0395383808358104,0,0.381354,13.17790886820788,0.5772082834680272,15,43178.19132014355,0.185362,21.07924487405546,3.553450125134072,1.3805121442991704,1.35632033499084,1983,0,0.4773,30511,0.636129,0.044257,170,0.0621453027531541,1258
2025-11-05 11:00:00+00:00,20251105_1100,rrc05,0.2419,27,0.2687719298245614,0.5725806451612904,0.7647058823529411,0.19528,33.0,14,7,8,5,67,69,815,14,0.0520745550983988,0,0.381354,13.234643605240048,0.5748134911443653,15,43457.01371658886,0.184369,21.10182858770307,3.533408450704225,1.3065620514260037,1.4021956087824352,1855,0,0.5235,23793,0.562024,0.06116,102,0.0622391069837249,1623
2025-11-05 11:10:00+00:00,20251105_1110,rrc05,0.2426,27,0.2684210526315789,0.5705645161290323,0.7647058823529411,0.195292,33.0,14,8,4,6,65,106,894,13,0.054011459661913,0,0.381354,13.23408619178461,0.5740289425697034,15,43440.29336817142,0.184369,21.0651951693503,3.497516967389505,1.1905744634846256,1.5059147180192571,1357,2,0.4486,12256,0.650018,0.00698,94,0.0622391069837249,1256
2025-11-05 11:25:00+00:00,20251105_1125,rrc05,0.2424,27,0.2687719298245614,0.5725806451612904,0.7647058823529411,0.195271,33.0,15,7,5,5,73,42,865,21,0.0421223377395947,0,0.381354,13.234711672933065,0.5741249850909217,15,43439.00793531808,0.18435,21.09527780683272,3.5168425324675323,1.3310941677319088,1.3602738213536492,2469,0,0.4563,19438,0.523821,0.036053,216,0.0622860090990103,1182
2025-11-05 11:30:00+00:00,20251105_1130,rrc05,0.2421,27,0.2684210526315789,0.5705645161290323,0.7647058823529411,0.1953,33.0,14,7,16,5,66,61,1007,77,0.0761028672708689,0,0.381354,13.2340181006907,0.5747174486231469,15,43458.30582376412,0.184866,21.07192494787753,3.527556232637333,0.9694567737714356,1.3684953420532606,2911,0,0.5015,30186,0.742928,0.01928,11104,0.0621922048684395,2004
2025-11-05 11:35:00+00:00,20251105_1135,rrc05,0.2424,27,0.2687719298245614,0.5725806451612904,0.7647058823529411,0.195271,33.0,15,7,6,5,65,79,939,16,0.056897328495239,0,0.381354,13.23471167293306,0.5741249850909217,15,43439.00793531808,0.18435,21.09527780683272,3.4622592736202664,1.0984163207726343,1.3794979596883887,2001,0,0.4773,23216,0.642775,0.02032,136,0.0622860090990103,1645
2025-11-05 11:40:00+00:00,20251105_1140,rrc05,0.2421,27,0.2684210526315789,0.5705645161290323,0.7647058823529411,0.1953,33.0,14,7,17,6,69,86,824,51,0.0547840729749526,0,0.381354,13.2340181006907,0.5747174486231469,15,43458.30582376412,0.184866,21.07192494787753,3.625646052397077,1.2459841584614897,1.5754332313965342,1539,2,0.4878,20654,0.59727,0.038019,167,0.0621922048684395,1588
2025-11-05 11:45:00+00:00,20251105_1145,rrc05,0.2424,27,0.2687719298245614,0.5725806451612904,0.7647058823529411,0.195271,33.0,15,11,17,6,68,27,1002,35,0.073978434819457,0,0.381354,13.234711672933065,0.5741249850909217,15,43439.00793531808,0.18435,21.09527780683272,3.494202069575165,1.0763158095225909,1.4659031068983677,1568,5,0.4843,27833,0.688725,0.024535,10356,0.0622860090990103,1257
2025-11-05 11:50:00+00:00,20251105_1150,rrc05,0.2426,27,0.2684210526315789,0.5705645161290323,0.7647058823529411,0.195292,33.0,14,7,20,5,65,73,844,22,0.0532325428034096,0,0.381354,13.234086191784607,0.5740289425697034,15,43440.29336817142,0.184369,21.0651951693503,3.5699968351091886,1.343012643473687,1.5309684042431846,1475,0,0.489,22729,0.64536,0.033462,111,0.0622391069837249,1700
2025-11-05 11:55:00+00:00,20251105_1155,rrc05,0.2426,27,0.2684210526315789,0.5705645161290323,0.7647058823529411,0.195292,33.0,15,9,4,7,67,56,954,13,0.0698998803146188,0,0.381354,13.23408619178461,0.5740289425697034,15,43440.29336817142,0.184369,21.0651951693503,3.392195424904254,0.990821264206322,1.318715335998968,1986,1,0.4757,27051,0.762929,0.011321,11011,0.0622391069837249,1772
2025-11-05 12:00:00+00:00,20251105_1200,rrc05,0.2419,27,0.2687719298245614,0.5725806451612904,0.7647058823529411,0.19528,33.0,14,8,88,6,73,59,902,22,0.0580389362421319,0,0.381354,13.234643605240043,0.5748134911443653,15,43457.01371658886,0.184369,21.10182858770307,3.793322563274098,1.319589666963128,1.6268815929832878,1633,2,0.4917,18155,0.546921,0.047594,298,0.0622391069837249,1482
2025-11-05 12:15:00+00:00,20251105_1215,rrc05,0.2419,27,0.2687719298245614,0.5725806451612904,0.7647058823529411,0.19528,33.0,14,7,22,6,78,36,850,47,0.0561229979127366,0,0.381354,13.234643605240048,0.5748134911443653,15,43457.01371658886,0.184369,21.10182858770307,3.432034340543725,1.190003527213354,1.1874670879410216,3080,3,0.517,24135,0.686801,0.021839,1794,0.0622391069837249,1784
2025-11-05 12:20:00+00:00,20251105_1220,rrc05,0.2424,28,0.2691228070175439,0.5745967741935484,0.7647058823529411,0.195303,33.0,14,9,11,5,72,77,951,31,0.0902438925625523,0,0.381354,13.234887691919557,0.5749012214917723,15,43455.85286750583,0.18467,21.128325072472176,3.472994598919784,1.0113736071868609,1.5534967124925283,1415,0,0.4949,13865,0.708469,0.004649,11067,0.0622860090990103,1154
2025-11-05 12:25:00+00:00,20251105_1225,rrc05,0.2429,28,0.2691228070175439,0.5745967741935484,0.7647058823529411,0.195294,33.0,13,8,10,5,71,54,875,20,0.0519027682309566,0,0.381354,13.23495574484877,0.5742127154383285,15,43437.85280419885,0.184369,21.12190453774368,3.6907754327721127,1.406121627100294,1.4703985553979104,1501,0,0.5245,24363,0.654371,0.036992,130,0.0623329112142957,1670
2025-11-05 12:40:00+00:00,20251105_1240,rrc05,0.2427,28,0.2648667122351333,0.5745967741935484,0.7647058823529411,0.195252,33.0,14,8,14,6,63,45,866,27,0.0494192630621108,0,0.381354,13.232707032821375,0.5741607120841862,15,43430.84257713752,0.18435,21.114822794420007,3.469349601495621,1.2806064975092426,1.3946025626488263,2028,2,0.4936,15302,0.543984,0.027751,134,0.0623798133295811,1137
2025-11-05 12:45:00+00:00,20251105_1245,rrc05,0.2422,28,0.2648667122351333,0.5745967741935484,0.7647058823529411,0.195261,33.0,15,7,7,5,69,28,1041,26,0.0744984259158067,0,0.381354,13.232638960491732,0.5748492181376298,15,43448.8426385522,0.184369,21.12119233228605,3.448707438377876,0.9922665532550512,1.3445090150499182,1491,0,0.4813,19463,0.670068,0.016655,10402,0.0623329112142957,1282
2025-11-05 12:50:00+00:00,20251105_1250,rrc05,0.2427,27,0.264524948735475,0.5725806451612904,0.7647058823529411,0.19536,33.0,13,7,6,6,81,28,998,22,0.0689488334308958,0,0.381354,13.175785622185176,0.576836377451323,15,43149.12279724133,0.18435,21.107889144287924,3.4542218210990776,1.00013047643664,1.341841159707595,1938,2,0.4923,21155,0.639678,0.014047,368,0.0622860090990103,1281
2025-11-05 12:55:00+00:00,20251105_1255,rrc05,0.2421,28,0.2652084757347915,0.5745967741935484,0.7647058823529411,0.195216,33.0,14,8,14,5,74,65,903,48,0.0511929918930341,0,0.381354,13.231718286621724,0.5748540688401058,15,43444.79370507856,0.18435,21.139506940298165,3.833661223686799,1.4800101410579825,1.5474436741767763,1912,0,0.4883,19109,0.574645,0.032445,363,0.0623798133295811,1593
2025-11-05 13:05:00+00:00,20251105_1305,rrc05,0.2424,27,0.264524948735475,0.5725806451612904,0.7647058823529411,0.195277,33.0,15,7,15,6,70,33,895,39,0.0403672032193158,0,0.381354,13.232027078021344,0.5747454577009112,15,43450.04349352622,0.18467,21.093788107685,3.548977395048439,1.38749515093457,1.4047309591889785,1948,1,0.436,22885,0.585089,0.043822,93,0.0622860090990103,845
2025-11-05 13:10:00+00:00,20251105_1310,rrc05,0.2421,29,0.2652084757347915,0.5745967741935484,0.7647058823529411,0.195261,33.0,14,7,5,5,61,32,1019,13,0.0692132180607509,0,0.381354,13.232325759705784,0.5749128548292961,15,43446.945193121006,0.18435,21.146974588995267,3.4351407000686343,1.0421317389120497,1.305344546934346,1908,0,0.4791,27048,0.651984,0.025895,11006,0.0623798133295811,1322
2025-11-05 13:20:00+00:00,20251105_1320,rrc05,0.2422,27,0.2648667122351333,0.5725806451612904,0.7647058823529411,0.195305,33.0,13,7,7,5,69,60,936,21,0.0496372914603579,0,0.381354,13.232201460654222,0.5747031618925982,15,43445.20292718279,0.184125,21.10316064206469,3.595196177062374,1.3884523166963194,1.4356328082563825,1657,0,0.4646,17595,0.572957,0.036316,69,0.0623329112142957,1148
2025-11-05 13:30:00+00:00,20251105_1330,rrc05,0.2424,27,0.264524948735475,0.5725806451612904,0.7647058823529411,0.195302,33.0,15,9,5,7,70,45,934,32,0.0426044486790684,0,0.381354,13.232729015845525,0.574631889238965,15,43449.515782960254,0.184291,21.085974714240336,3.5388187020840083,1.425367774018197,1.3253295668549905,2260,1,0.4492,16428,0.541928,0.029399,210,0.0622860090990103,984
2025-11-05 13:35:00+00:00,20251105_1335,rrc05,0.2424,27,0.264524948735475,0.5725806451612904,0.7647058823529411,0.195302,33.0,14,8,2,5,63,63,1045,14,0.0687335704345136,0,0.381354,13.232729015845525,0.574631889238965,15,43449.515782960254,0.184291,21.085974714240336,3.5282068062827223,1.1549227868259513,1.3964686998394864,1957,0,0.4985,25490,0.6457,0.029368,6598,0.0622860090990103,1794
2025-11-05 13:40:00+00:00,20251105_1340,rrc05,0.2422,28,0.2648667122351333,0.5745967741935484,0.7647058823529411,0.195286,33.0,14,7,10,5,66,65,1030,19,0.0712585551940245,0,0.381354,13.23334074898145,0.5747356496756836,15,43448.31450436401,0.18432,21.113407692870567,3.459019659936238,1.0816765935731756,1.5159269483966873,1813,0,0.51,16716,0.589741,0.024558,4580,0.0623329112142957,1222
2025-11-05 13:45:00+00:00,20251105_1345,rrc05,0.2424,27,0.264524948735475,0.5725806451612904,0.7647058823529411,0.195302,33.0,14,7,7,5,66,50,923,20,0.0506014434643143,0,0.381354,13.23272901584552,0.574631889238965,15,43449.515782960254,0.184291,21.085974714240336,3.560190117184299,1.2916250968573184,1.4627280303731829,2420,0,0.3997,22199,0.560556,0.040726,855,0.0622860090990103,945
2025-11-05 13:55:00+00:00,20251105_1355,rrc05,0.2424,27,0.264524948735475,0.5725806451612904,0.7647058823529411,0.195302,33.0,14,7,9,6,67,50,889,29,0.0498055607544658,0,0.381354,13.232729015845525,0.574631889238965,15,43449.515782960254,0.184291,21.085974714240336,3.46325736520289,1.3525935422547326,1.4012692213814986,1586,2,0.4636,23645,0.600628,0.047569,135,0.0622860090990103,1247
2025-11-05 14:05:00+00:00,20251105_1405,rrc05,0.2422,27,0.2648667122351333,0.5725806451612904,0.7647058823529411,0.19526,33.0,14,8,18,5,60,64,952,65,0.042835478536537,0,0.381354,13.231817989653988,0.5746364222807621,15,43445.46026444763,0.184125,21.104120247086332,3.691682375117813,1.3467044631258562,1.394155669270132,1855,0,0.4576,22307,0.534685,0.056808,106,0.0623329112142957,1507
2025-11-05 14:20:00+00:00,20251105_1420,rrc05,0.2422,28,0.2648667122351333,0.5745967741935484,0.7647058823529411,0.195286,33.0,14,7,17,6,65,65,962,42,0.0566387901515761,0,0.381354,13.233340748981448,0.5747356496756836,15,43448.31450436401,0.18432,21.113407692870567,3.5385337543739865,1.213467587406542,1.4635309418012354,1953,3,0.4769,25794,0.60396,0.048243,347,0.0623329112142957,1490
2025-11-05 14:25:00+00:00,20251105_1425,rrc05,0.2421,29,0.2652084757347915,0.5745967741935484,0.7647058823529411,0.195283,33.0,14,7,3,5,74,47,1037,58,0.066467461057072,0,0.381354,13.233624114163558,0.5747253967062265,15,43446.43977111714,0.184236,21.12394055222296,3.485836306627744,1.0485533794015045,1.4059961093946676,1988,0,0.4709,12586,0.622619,-0.006325,9160,0.0623798133295811,828
2025-11-05 14:30:00+00:00,20251105_1430,rrc05,0.2426,28,0.2655502392344497,0.5766129032258065,0.7720588235294118,0.195389,33.0,14,7,13,6,64,90,1088,77,0.0742628088953327,0,0.381354,13.233076364647292,0.5757541853952736,15,43443.60308724091,0.184125,21.146727342490102,3.4704791605208816,0.9642455590477602,1.2438230383973288,4175,1,0.4759,28340,0.684776,0.018244,2112,0.0624267154448665,1830
2025-11-05 14:35:00+00:00,20251105_1435,rrc05,0.2427,27,0.2652084757347915,0.5745967741935484,0.7720588235294118,0.195405,33.0,14,7,11,6,67,71,941,59,0.0540765618173875,0,0.381354,13.2324644102509,0.5756517595839075,15,43444.8038670496,0.183959,21.11942025058997,3.697689075630252,1.2907889294827586,1.5377038043478262,1732,1,0.4986,13105,0.536226,0.026434,105,0.0623798133295811,1273
