window_start,window_id,collector,frac_p2p_edges,innermost_core_size,rich_club_p75,rich_club_p90,rich_club_p95,std_edge_ixp_cosine_dist,symmetry_ratio,unique_peers,as_path_max,edit_distance_max,unique_as_path_max,flaps,nadas,origin_changes,ego_filter_ratio,ego_origin_violations,avg_ixp_cosine_dist,clustering_avg_local,degeneracy,kirchhoff_index,as_path_avg,as_path_std,edit_distance_avg,edit_distance_dict_0,ego_avg_violation_depth,ego_valley_free_violations,vf_rate_delta,new_prefixes,rich_club_p25,discovered_label,event_id,binary_label,provenance,incident_type
2025-11-01T03:25:00+00:00,20251101_0325,rrc04,0.2223,24,0.2515364354697103,0.4989247311827957,0.7583333333333333,0.197385,28.2,9,7,5,29,13,550,74,0.0462414948415568,0,0.391129,0.5914187588492236,12,40394.30184537357,4.133254716981132,1.4455474173028542,1.6959370904325033,258,0.5272,14471,0.062955,125,0.0633767846058348,likely_normal,none,0,study,
2025-11-01T03:30:00+00:00,20251101_0330,rrc04,0.2217,24,0.2510974539069359,0.4967741935483871,0.75,0.197292,28.2,11,8,6,31,12,551,67,0.0538839593479662,0,0.391129,0.5903595244075424,12,40395.50921736654,4.377099236641222,1.43131429953643,1.7593201754385963,347,0.4959,18381,0.069017,68,0.0633147113594041,likely_normal,none,0,study,
2025-11-01T03:35:00+00:00,20251101_0335,rrc04,0.2214,24,0.2107892107892107,0.4946236559139785,0.7416666666666667,0.198212,28.2,9,8,5,27,16,440,46,0.0478959563495029,0,0.391149,0.5881644058753699,12,40240.26414606259,3.599737532808399,1.1516182040335845,1.5287009063444108,288,0.5162,13162,0.004854,122,0.0632728642269788,likely_normal,none,0,study,
2025-11-01T03:40:00+00:00,20251101_0340,rrc04,0.2215,24,0.2515364354697103,0.4989247311827957,0.75,0.197258,28.2,9,6,5,34,45,524,82,0.0531424047177023,0,0.391129,0.5905167751947379,12,40393.80354310184,3.795731707317073,0.998298808034322,1.66177908113392,360,0.5012,24834,0.036609,170,0.0633767846058348,likely_normal,none,0,study,
2025-11-01T03:45:00+00:00,20251101_0345,rrc04,0.2211,24,0.2506584723441615,0.4946236559139785,0.7416666666666667,0.197241,28.2,9,6,4,33,13,416,43,0.0422565926323559,0,0.391129,0.5893460716017292,12,40396.13236130779,3.468122270742358,1.1424296518877308,1.377110694183865,254,0.518,15782,0.020482,33,0.0632526381129733,likely_normal,none,0,study,
2025-11-01T03:50:00+00:00,20251101_0350,rrc04,0.2222,24,0.2111222111222111,0.4967741935483871,0.75,0.19837,28.2,11,6,5,31,21,508,74,0.0520528304637853,0,0.391149,0.589587443695568,12,40256.95364819895,3.7370833333333335,0.9815088178608976,1.5879194630872484,359,0.4919,17495,0.084001,142,0.0632728642269788,likely_normal,none,0,study,
2025-11-01T03:55:00+00:00,20251101_0355,rrc04,0.2227,24,0.2131202131202131,0.4989247311827957,0.75,0.197553,28.2,9,7,6,32,18,285,50,0.0417293729372937,0,0.391129,0.5916072102656883,12,40424.13011056502,3.397495361781076,0.9668151544643429,1.3583333333333334,442,0.5199,13589,0.104323,137,0.0632526381129733,likely_normal,none,0,study,
2025-11-01T04:00:00+00:00,20251101_0400,rrc04,0.2224,24,0.2146274777853725,0.4967741935483871,0.75,0.198452,28.2,9,8,6,31,13,559,45,0.0463401149933657,0,0.391149,0.5904465666950034,12,40270.66533939121,3.569193742478941,1.13865440184818,1.559939301972686,270,0.4989,24172,0.012702,315,0.0632100935283409,likely_normal,none,0,study,
2025-11-01T04:05:00+00:00,20251101_0405,rrc04,0.222,24,0.2127872127872128,0.4967741935483871,0.75,0.197481,28.2,9,8,5,32,13,288,47,0.0344331676048814,0,0.391129,0.5916164082480181,12,40426.63637038642,3.3821243523316062,1.0639154845259549,1.274962742175857,381,0.5284,12779,0.094401,132,0.0631905648665425,likely_normal,none,0,study,
2025-11-01T04:15:00+00:00,20251101_0415,rrc04,0.222,24,0.2127872127872128,0.4967741935483871,0.75,0.197481,28.2,9,8,6,30,14,295,107,0.0427546915215272,0,0.391129,0.5916164082480181,12,40426.63637038642,3.7208245981830887,1.0569155849141851,1.3846971307120084,400,0.5065,17229,0.09677,236,0.0631905648665425,likely_normal,none,0,study,
