source,target,weight
6762,21351,1
1267,6762,1
6762,27986,1
6762,52468,1
6762,28008,1
6762,17072,1
6762,35753,1
6762,28173,1
6762,27924,1
6762,15830,1
6762,265867,1
5511,6762,1
6762,21575,1
6762,54113,1
6762,28458,1
6762,263702,1
6762,263444,1
6762,12956,1
6762,263311,1
6762,60068,1
6762,21859,1
6762,199524,1
6762,15695,1
6762,13335,1
6762,14979,1
6762,215787,1
6762,274150,1
6762,19551,1
3257,6762,1
6762,23764,1
6762,32590,1
6762,136907,1
6762,27843,1
6762,21559,1
6762,6939,1
6762,31898,1
3320,6762,1
5511,33392,1
12956,33392,1
52468,264825,1
12956,264825,1
3356,64123,1
12956,64123,1
6939,64123,1
12956,268925,1
6939,268925,1
3352,35454,1
16338,35454,1
16153,39551,1
21193,39551,1
3352,39551,1
6939,14979,1
3303,14979,1
12956,14979,1
12956,64134,1
6805,12956,1
6805,6939,1
1299,12956,1
3356,12956,1
6830,12956,1
12956,52229,1
3816,12956,1
7004,12956,1
12956,14259,1
3303,12956,1
3352,12956,1
12956,19422,1
12956,13489,1
7438,12956,1
12956,21351,1
12956,27986,1
12956,28186,1
12956,25620,1
12956,132203,1
12956,15107,1
12956,15964,1
12956,52468,1
5511,12956,1
12956,28024,1
12956,19114,1
12252,12956,1
12956,27843,1
11921,12956,1
12956,27924,1
12956,31898,1
12956,53237,1
12956,15830,1
12956,52873,1
12956,28008,1
12956,263327,1
11367,12956,1
12956,263444,1
12956,269832,1
12956,22364,1
12956,21575,1
12956,52863,1
12956,53087,1
12956,263073,1
12956,28126,1
12956,27796,1
12956,27882,1
12956,27781,1
714,12956,1
12956,21859,1
12956,263311,1
12956,263212,1
12956,263824,1
11816,12956,1
8069,12956,1
12956,23379,1
12956,267700,1
12956,273189,1
12956,265867,1
12956,263238,1
12956,265724,1
12956,273149,1
12956,23764,1
12956,269864,1
12956,28173,1
12956,47806,1
12956,198198,1
12956,26210,1
12956,54113,1
12956,15695,1
12956,263218,1
3257,12956,1
12956,16383,1
12956,203936,1
12956,208103,1
12956,48348,1
12956,210847,1
12956,138997,1
12956,273824,1
12956,263763,1
12956,263930,1
12956,271935,1
12956,55256,1
12956,32098,1
12956,21559,1
12956,202310,1
12956,60134,1
12956,13335,1
12956,19551,1
8075,12956,1
12956,215787,1
12956,199478,1
12956,271803,1
12956,274150,1
12956,401322,1
12956,28458,1
12956,263702,1
12956,265705,1
12956,270068,1
12956,52925,1
12956,60068,1
12956,60917,1
12956,267724,1
12956,270086,1
12956,269831,1
12956,271929,1
7979,12956,1
12956,19855,1
12956,60725,1
12956,263783,1
12956,136907,1
5089,12956,1
12956,48266,1
12956,15810,1
12956,39784,1
11179,12956,1
12189,12956,1
12956,264123,1
12956,23344,1
12956,63199,1
12956,13150,1
12956,32590,1
12956,32067,1
12956,210055,1
12956,28257,1
12956,52640,1
12956,52580,1
12956,53991,1
12956,15994,1
12956,17072,1
12956,52320,1
7726,12956,1
12956,30383,1
12956,271868,1
6939,12956,1
12956,265662,1
12956,28665,1
12956,52973,1
12956,263961,1
12956,199524,1
12956,265554,1
12956,208176,1
12956,52489,1
12956,272022,1
3320,12956,1
3352,6813,1
3352,25247,1
6830,60068,1
1299,60068,1
3356,60068,1
3257,60068,1
5511,60068,1
3303,60068,1
6939,60068,1
52580,60068,1
48266,60068,1
19114,52468,1
3356,6830,1
714,6830,1
1299,6830,1
3257,6830,1
3320,6830,1
5511,6830,1
5089,6830,1
6830,54113,1
6830,19551,1
6830,13335,1
6830,21859,1
3303,6830,1
6830,199524,1
6830,8075,1
6830,15695,1
6830,6939,1
6830,32590,1
3356,17072,1
13335,17072,1
17072,19551,1
17072,32098,1
1299,17072,1
6939,17072,1
3352,31418,1
6939,47806,1
3257,8903,1
3320,8903,1
6939,8903,1
8903,44127,1
714,3356,1
714,1299,1
714,6939,1
714,3303,1
3303,60134,1
1299,53991,1
3356,53991,1
6939,53991,1
766,13041,1
6939,13041,1
13041,15633,1
766,3303,1
766,6939,1
766,3356,1
766,200521,1
766,210158,1
3352,25356,1
3352,49934,1
3352,197397,1
3303,6939,1
6939,23764,1
6939,52320,1
6939,7782,1
6939,28458,1
6939,8075,1
1299,6939,1
6939,7004,1
6939,21559,1
6939,263702,1
6939,52468,1
6939,11921,1
6939,60314,1
6939,48728,1
6939,136907,1
6939,13335,1
5511,6939,1
6939,21575,1
6939,15830,1
6939,53237,1
6939,52973,1
6939,28186,1
