bucket,pair,balance_fit,calibration,alignment,classifier,view,macro_f1_mean,macro_f1_std,pr_auc_anomaly_mean,pr_auc_anomaly_std,recall_anomaly_mean,recall_anomaly_std
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,random_forest,fusion_late_mean,0.0932,0.0039,0.0643,0.0019,0.484,0.024
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,random_forest,fusion_late_or,0.0792,0.0,0.0561,0.0015,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,random_forest,graph,0.0792,0.0,0.0928,0.0042,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,random_forest,stat,0.1221,0.0155,0.0538,0.0014,0.4591,0.012
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,xgboost,fusion_early,0.0744,0.0021,0.0599,0.0023,0.8919,0.0291
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,xgboost,fusion_late_attention,0.0776,0.0011,0.0656,0.0062,0.9029,0.0184
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,xgboost,fusion_late_mean,0.0773,0.0011,0.0654,0.0063,0.8941,0.0292
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,xgboost,fusion_late_or,0.0792,0.0,0.0594,0.0014,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,xgboost,graph,0.0792,0.0,0.094,0.0096,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,xgboost,stat,0.0794,0.0019,0.0591,0.0014,0.8122,0.0221
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,lstm,fusion_early,0.0501,0.0061,0.0455,0.0032,0.9988,0.0026
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,lstm,fusion_late_attention,0.0475,0.0001,0.0415,0.0027,0.9965,0.0078
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,lstm,fusion_late_mean,0.0474,0.0,0.0424,0.003,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,lstm,fusion_late_or,0.0474,0.0,0.0413,0.0027,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,lstm,graph,0.0474,0.0,0.0816,0.03,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,lstm,stat,0.0487,0.0028,0.0414,0.0027,0.9918,0.0183
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,mlp,fusion_early,0.0474,0.0,0.0498,0.0,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,mlp,fusion_late_attention,0.1221,0.1352,0.0943,0.0386,0.835,0.2402
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,mlp,fusion_late_mean,0.0555,0.0182,0.0942,0.0386,0.9452,0.1226
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,mlp,fusion_late_or,0.0474,0.0,0.0484,0.0038,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,mlp,graph,0.0474,0.0,0.1093,0.0545,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,mlp,stat,0.1222,0.1354,0.0478,0.0037,0.835,0.2402
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,random_forest,fusion_early,0.0474,0.0,0.3671,0.0429,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,random_forest,fusion_late_attention,0.0474,0.0,0.433,0.0304,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,random_forest,fusion_late_mean,0.0474,0.0,0.4282,0.0448,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,random_forest,fusion_late_or,0.0474,0.0,0.4058,0.0286,1.0,0.0
