bucket,pair,balance_fit,classifier,view,macro_f1_isotonic_f1,macro_f1_none,macro_f1_platt_prior,ece_isotonic_f1,ece_none,ece_platt_prior,brier_isotonic_f1,brier_none,brier_platt_prior,pr_auc_anomaly_isotonic_f1,pr_auc_anomaly_none,pr_auc_anomaly_platt_prior
cross_as,rrc04_as3352__to__rrc04_as12880,equal,lstm,graph,,0.1049,,,0.8699,,,0.8579,,,0.1014,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,lstm,stat,,0.4082,,,0.445,,,0.351,,,0.221,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,mlp,fusion_early,,0.2515,,,0.5322,,,0.38,,,0.4141,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,mlp,fusion_late_mean,,0.4176,,,0.4281,,,0.2894,,,0.2324,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,mlp,fusion_late_or,,0.3212,,,0.5476,,,0.4111,,,0.3401,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,mlp,graph,,0.4507,,,0.3887,,,0.2916,,,0.1093,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,mlp,stat,,0.4172,,,0.483,,,0.3315,,,0.3555,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,random_forest,fusion_early,,0.0973,,,0.6744,,,0.5563,,,0.0908,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,random_forest,fusion_late_mean,,0.0973,,,0.7095,,,0.6031,,,0.0586,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,random_forest,fusion_late_or,,0.0973,,,0.8223,,,0.8088,,,0.0614,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,random_forest,graph,,0.0973,,,0.5761,,,0.4284,,,0.1059,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,random_forest,stat,,0.0895,,,0.8348,,,0.8118,,,0.0587,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,xgboost,fusion_early,,0.0976,,,0.8749,,,0.8683,,,0.0822,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,xgboost,fusion_late_mean,,0.0973,,,0.8735,,,0.8691,,,0.0687,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,xgboost,fusion_late_or,,0.0973,,,0.8889,,,0.888,,,0.0645,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,xgboost,graph,,0.0973,,,0.8731,,,0.8587,,,0.1083,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,xgboost,stat,,0.0939,,,0.8851,,,0.8864,,,0.063,
cross_as,rrc04_as3352__to__rrc04_as12880,none,lstm,fusion_early,,0.3769,,,0.5122,,,0.4412,,,0.1388,
cross_as,rrc04_as3352__to__rrc04_as12880,none,lstm,fusion_late_mean,,0.1049,,,0.6028,,,0.4707,,,0.3235,
cross_as,rrc04_as3352__to__rrc04_as12880,none,lstm,fusion_late_or,,0.0979,,,0.889,,,0.8872,,,0.1129,
cross_as,rrc04_as3352__to__rrc04_as12880,none,lstm,graph,,0.0979,,,0.889,,,0.8872,,,0.1079,
cross_as,rrc04_as3352__to__rrc04_as12880,none,lstm,stat,,0.5576,,,0.3195,,,0.2849,,,0.3243,
cross_as,rrc04_as3352__to__rrc04_as12880,none,mlp,fusion_early,,0.245,,,0.6351,,,0.5584,,,0.2871,
cross_as,rrc04_as3352__to__rrc04_as12880,none,mlp,fusion_late_mean,,0.24,,,0.5486,,,0.4347,,,0.1183,
cross_as,rrc04_as3352__to__rrc04_as12880,none,mlp,fusion_late_or,,0.2069,,,0.7194,,,0.6739,,,0.1542,
cross_as,rrc04_as3352__to__rrc04_as12880,none,mlp,graph,,0.4501,,,0.4526,,,0.3788,,,0.1077,
cross_as,rrc04_as3352__to__rrc04_as12880,none,mlp,stat,,0.2585,,,0.6458,,,0.5829,,,0.2111,
cross_as,rrc04_as3352__to__rrc04_as12880,none,random_forest,fusion_early,,0.0958,,,0.5134,,,0.3597,,,0.0684,
cross_as,rrc04_as3352__to__rrc04_as12880,none,random_forest,fusion_late_mean,,0.0839,,,0.5969,,,0.4457,,,0.058,
cross_as,rrc04_as3352__to__rrc04_as12880,none,random_forest,fusion_late_or,,0.0953,,,0.725,,,0.6695,,,0.0635,
cross_as,rrc04_as3352__to__rrc04_as12880,none,random_forest,graph,,0.2749,,,0.4112,,,0.2658,,,0.1099,
cross_as,rrc04_as3352__to__rrc04_as12880,none,random_forest,stat,,0.085,,,0.7594,,,0.6835,,,0.0581,
cross_as,rrc04_as3352__to__rrc04_as12880,none,xgboost,fusion_early,,0.0973,,,0.8844,,,0.8839,,,0.0679,
cross_as,rrc04_as3352__to__rrc04_as12880,none,xgboost,fusion_late_mean,,0.1115,,,0.8027,,,0.7797,,,0.0739,
cross_as,rrc04_as3352__to__rrc04_as12880,none,xgboost,fusion_late_or,,0.0973,,,0.8755,,,0.8708,,,0.0748,
cross_as,rrc04_as3352__to__rrc04_as12880,none,xgboost,graph,,0.0973,,,0.8009,,,0.7403,,,0.1072,
cross_as,rrc04_as3352__to__rrc04_as12880,none,xgboost,stat,,0.1262,,,0.8479,,,0.8499,,,0.0731,
cross_as,rrc04_as3352__to__rrc04_as12880__core10,equal,lstm,core10,,0.0993,,,0.8665,,,0.8707,,,0.0644,
cross_as,rrc04_as3352__to__rrc04_as12880__core10,equal,mlp,core10,,0.0966,,,0.8246,,,0.7977,,,0.1354,
cross_as,rrc04_as3352__to__rrc04_as12880__core10,equal,random_forest,core10,,0.0973,,,0.823,,,0.7681,,,0.0643,
cross_as,rrc04_as3352__to__rrc04_as12880__core10,equal,xgboost,core10,,0.0975,,,0.8882,,,0.8884,,,0.0692,
cross_as,rrc04_as3352__to__rrc04_as12880__core10,none,lstm,core10,,0.0977,,,0.8786,,,0.8819,,,0.0608,
cross_as,rrc04_as3352__to__rrc04_as12880__core10,none,mlp,core10,,0.1059,,,0.8381,,,0.8386,,,0.107,
cross_as,rrc04_as3352__to__rrc04_as12880__core10,none,random_forest,core10,,0.0818,,,0.7359,,,0.6325,,,0.0632,
cross_as,rrc04_as3352__to__rrc04_as12880__core10,none,xgboost,core10,,0.0734,,,0.8994,,,0.8951,,,0.0639,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,lstm,fusion_early,,0.5996,,,0.3026,,,0.1847,,,0.332,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,lstm,fusion_late_attention,,0.1528,,,0.6715,,,0.5744,,,0.2614,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,lstm,fusion_late_mean,,0.0958,,,0.6301,,,0.4935,,,0.2613,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,lstm,fusion_late_or,,0.0958,,,0.8819,,,0.8726,,,0.1737,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,lstm,graph,,0.0958,,,0.8819,,,0.8726,,,0.1737,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,lstm,stat,,0.4519,,,0.3844,,,0.251,,,0.2614,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,mlp,fusion_early,,0.4874,,,0.4335,,,0.305,,,0.2191,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,mlp,fusion_late_attention,,0.1753,,,0.5831,,,0.4347,,,0.2886,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,mlp,fusion_late_mean,,0.1119,,,0.5311,,,0.3703,,,0.2902,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,mlp,fusion_late_or,,0.0958,,,0.696,,,0.5762,,,0.3027,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,mlp,graph,,0.0958,,,0.6872,,,0.5677,,,0.2459,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,mlp,stat,,0.5627,,,0.3921,,,0.2466,,,0.2847,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,random_forest,fusion_early,,0.0958,,,0.6631,,,0.5395,,,0.1024,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,random_forest,fusion_late_attention,,0.0958,,,0.8716,,,0.86,,,0.0714,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,random_forest,fusion_late_mean,,0.0958,,,0.6486,,,0.528,,,0.0715,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,random_forest,fusion_late_or,,0.0958,,,0.7291,,,0.6479,,,0.0781,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,random_forest,graph,,0.0958,,,0.5736,,,0.4243,,,0.1155,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,random_forest,stat,,0.0972,,,0.7242,,,0.6463,,,0.0714,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,xgboost,fusion_early,,0.0972,,,0.8588,,,0.8369,,,0.2878,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,xgboost,fusion_late_attention,,0.0973,,,0.8839,,,0.8797,,,0.1848,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,xgboost,fusion_late_mean,,0.0959,,,0.8635,,,0.8477,,,0.1856,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,xgboost,fusion_late_or,,0.0958,,,0.8831,,,0.8766,,,0.1912,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,xgboost,graph,,0.0958,,,0.8589,,,0.8325,,,0.11,
cross_as,rrc04_as3352__to__rrc05_as12880,equal,xgboost,stat,,0.1042,,,0.8715,,,0.8677,,,0.1836,
cross_as,rrc04_as3352__to__rrc05_as12880,none,lstm,fusion_early,,0.7043,,,0.0754,,,0.0799,,,0.5171,
cross_as,rrc04_as3352__to__rrc05_as12880,none,lstm,fusion_late_attention,,0.3938,,,0.3103,,,0.2843,,,0.1767,
cross_as,rrc04_as3352__to__rrc05_as12880,none,lstm,fusion_late_mean,,0.0958,,,0.5136,,,0.3593,,,0.4591,
cross_as,rrc04_as3352__to__rrc05_as12880,none,lstm,fusion_late_or,,0.0958,,,0.8921,,,0.8906,,,0.1471,
cross_as,rrc04_as3352__to__rrc05_as12880,none,lstm,graph,,0.0958,,,0.8921,,,0.8906,,,0.1462,
cross_as,rrc04_as3352__to__rrc05_as12880,none,lstm,stat,,0.5879,,,0.1638,,,0.1585,,,0.4591,
cross_as,rrc04_as3352__to__rrc05_as12880,none,mlp,fusion_early,,0.47,,,0.3999,,,0.3242,,,0.2133,
cross_as,rrc04_as3352__to__rrc05_as12880,none,mlp,fusion_late_attention,,0.1117,,,0.766,,,0.6989,,,0.1475,
cross_as,rrc04_as3352__to__rrc05_as12880,none,mlp,fusion_late_mean,,0.0912,,,0.663,,,0.5571,,,0.1462,
cross_as,rrc04_as3352__to__rrc05_as12880,none,mlp,fusion_late_or,,0.0958,,,0.8828,,,0.874,,,0.2505,
cross_as,rrc04_as3352__to__rrc05_as12880,none,mlp,graph,,0.0958,,,0.8821,,,0.873,,,0.2369,
cross_as,rrc04_as3352__to__rrc05_as12880,none,mlp,stat,,0.3951,,,0.4719,,,0.3952,,,0.1742,
cross_as,rrc04_as3352__to__rrc05_as12880,none,random_forest,fusion_early,,0.1157,,,0.4841,,,0.334,,,0.0664,
cross_as,rrc04_as3352__to__rrc05_as12880,none,random_forest,fusion_late_attention,,0.0958,,,0.886,,,0.8847,,,0.071,
cross_as,rrc04_as3352__to__rrc05_as12880,none,random_forest,fusion_late_mean,,0.1419,,,0.4722,,,0.3271,,,0.0713,
cross_as,rrc04_as3352__to__rrc05_as12880,none,random_forest,fusion_late_or,,0.1189,,,0.547,,,0.4237,,,0.0924,
cross_as,rrc04_as3352__to__rrc05_as12880,none,random_forest,graph,,0.3286,,,0.3926,,,0.2485,,,0.1232,
cross_as,rrc04_as3352__to__rrc05_as12880,none,random_forest,stat,,0.1407,,,0.5575,,,0.4249,,,0.0708,
cross_as,rrc04_as3352__to__rrc05_as12880,none,xgboost,fusion_early,,0.0955,,,0.8721,,,0.8654,,,0.1124,
cross_as,rrc04_as3352__to__rrc05_as12880,none,xgboost,fusion_late_attention,,0.0968,,,0.8855,,,0.8814,,,0.1097,
cross_as,rrc04_as3352__to__rrc05_as12880,none,xgboost,fusion_late_mean,,0.1233,,,0.727,,,0.64,,,0.1123,
cross_as,rrc04_as3352__to__rrc05_as12880,none,xgboost,fusion_late_or,,0.0958,,,0.8653,,,0.8604,,,0.1007,
cross_as,rrc04_as3352__to__rrc05_as12880,none,xgboost,graph,,0.0958,,,0.62,,,0.4844,,,0.12,
cross_as,rrc04_as3352__to__rrc05_as12880,none,xgboost,stat,,0.1483,,,0.8351,,,0.8393,,,0.0993,
cross_as,rrc05_as12880__to__rrc04_as3352,equal,lstm,fusion_early,,0.0792,,,0.8271,,,0.7611,,,0.132,
cross_as,rrc05_as12880__to__rrc04_as3352,equal,lstm,fusion_late_mean,,0.0792,,,0.6649,,,0.5179,,,0.4585,
cross_as,rrc05_as12880__to__rrc04_as3352,equal,lstm,fusion_late_or,,0.0792,,,0.856,,,0.8074,,,0.2062,
cross_as,rrc05_as12880__to__rrc04_as3352,equal,lstm,graph,,0.0792,,,0.4738,,,0.3022,,,0.4078,
cross_as,rrc05_as12880__to__rrc04_as3352,equal,lstm,stat,,0.0792,,,0.856,,,0.8074,,,0.2062,
cross_as,rrc05_as12880__to__rrc04_as3352,equal,mlp,fusion_early,,0.1077,,,0.8004,,,0.7302,,,0.1543,
cross_as,rrc05_as12880__to__rrc04_as3352,equal,mlp,fusion_late_mean,,0.0842,,,0.5667,,,0.3987,,,0.2853,
cross_as,rrc05_as12880__to__rrc04_as3352,equal,mlp,fusion_late_or,,0.0806,,,0.7274,,,0.6186,,,0.2366,
cross_as,rrc05_as12880__to__rrc04_as3352,equal,mlp,graph,,0.3281,,,0.4061,,,0.2433,,,0.5186,
cross_as,rrc05_as12880__to__rrc04_as3352,equal,mlp,stat,,0.0806,,,0.7274,,,0.6186,,,0.2366,
cross_as,rrc05_as12880__to__rrc04_as3352,equal,random_forest,fusion_early,,0.0792,,,0.8278,,,0.7681,,,0.1378,
cross_as,rrc05_as12880__to__rrc04_as3352,equal,random_forest,fusion_late_mean,,0.0792,,,0.8323,,,0.7722,,,0.1211,
cross_as,rrc05_as12880__to__rrc04_as3352,equal,random_forest,fusion_late_or,,0.0792,,,0.8695,,,0.8369,,,0.1227,
