pair,balance_fit,alignment,classifier,view,stage1a,stage1b,delta
rrc04_as12880__to__rrc05_as12880,none,before_coral,xgboost,fusion_late_attention,0.0937,0.0955,0.0018
rrc04_as12880__to__rrc05_as12880,none,before_coral,xgboost,fusion_late_mean,0.3183,0.0966,-0.2216
rrc04_as12880__to__rrc05_as12880,none,before_coral,xgboost,fusion_late_or,0.0962,0.0969,0.0006
rrc04_as12880__to__rrc05_as12880,none,before_coral,xgboost,graph,0.5313,0.5217,-0.0096
rrc04_as12880__to__rrc05_as12880,none,before_coral,xgboost,stat,0.0956,0.0978,0.0022
rrc04_as12880__to__rrc05_as3352,equal,after_coral,lstm,fusion_early,0.0501,0.0474,-0.0027
rrc04_as12880__to__rrc05_as3352,equal,after_coral,lstm,fusion_late_attention,0.0475,0.1227,0.0753
rrc04_as12880__to__rrc05_as3352,equal,after_coral,lstm,fusion_late_mean,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,lstm,fusion_late_or,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,lstm,graph,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,lstm,stat,0.0487,0.0474,-0.0012
rrc04_as12880__to__rrc05_as3352,equal,after_coral,mlp,fusion_early,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,mlp,fusion_late_attention,0.1221,0.0474,-0.0747
rrc04_as12880__to__rrc05_as3352,equal,after_coral,mlp,fusion_late_mean,0.0555,0.0474,-0.0081
rrc04_as12880__to__rrc05_as3352,equal,after_coral,mlp,fusion_late_or,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,mlp,graph,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,mlp,stat,0.1222,0.0474,-0.0748
rrc04_as12880__to__rrc05_as3352,equal,after_coral,random_forest,fusion_early,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,random_forest,fusion_late_attention,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,random_forest,fusion_late_mean,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,random_forest,fusion_late_or,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,random_forest,graph,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,random_forest,stat,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,xgboost,fusion_early,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,xgboost,fusion_late_attention,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,xgboost,fusion_late_mean,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,xgboost,fusion_late_or,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,xgboost,graph,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,after_coral,xgboost,stat,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,before_coral,lstm,fusion_early,0.0507,0.0495,-0.0012
rrc04_as12880__to__rrc05_as3352,equal,before_coral,lstm,fusion_late_attention,0.0477,0.0684,0.0207
rrc04_as12880__to__rrc05_as3352,equal,before_coral,lstm,fusion_late_mean,0.049,0.0766,0.0276
rrc04_as12880__to__rrc05_as3352,equal,before_coral,lstm,fusion_late_or,0.0477,0.0548,0.0072
rrc04_as12880__to__rrc05_as3352,equal,before_coral,lstm,graph,0.1992,0.434,0.2348
