pair_label,bucket_label,edge,view,alignment,macro_f1_mean,macro_f1_std,pr_auc_anomaly_mean,recall_anomaly_mean,TP_mean,FP_mean,FN_mean,TN_mean
D4->D2,same-AS,temporal,graph,after_coral,0.332,0.012,0.067,0.153,100.3,3607.0,556.7,3375.0
D4->D2,same-AS,temporal,graph,before_coral,0.486,0.01,0.113,0.304,200.0,1219.0,457.0,5763.0
D4->D2,same-AS,temporal,stat,after_coral,0.537,0.006,0.205,0.305,200.7,1180.3,456.3,5801.7
D4->D2,same-AS,temporal,stat,before_coral,0.541,0.032,0.155,0.375,246.3,1373.0,410.7,5609.0
D4->D3,cross-AS,knn,fusion_early,after_coral,0.685,0.101,0.63,0.728,440.0,888.0,164.0,4206.0
D4->D3,cross-AS,knn,fusion_early,before_coral,0.677,0.109,0.479,0.531,321.0,656.3,283.0,4437.7
D4->D3,cross-AS,knn,graph,after_coral,0.505,0.007,0.27,0.569,343.7,1805.7,260.3,3288.3
D4->D3,cross-AS,knn,graph,before_coral,0.347,0.217,0.202,0.333,201.0,1698.0,403.0,3396.0
D4->D3,cross-AS,knn,stat,after_coral,0.686,0.082,0.529,0.577,348.3,625.3,255.7,4468.7
D4->D3,cross-AS,knn,stat,before_coral,0.491,0.004,0.223,0.784,473.3,2282.0,130.7,2812.0
D4->D3,cross-AS,temporal,fusion_early,after_coral,0.715,0.031,0.505,0.66,398.7,571.3,205.3,4522.7
D4->D3,cross-AS,temporal,fusion_early,before_coral,0.32,0.389,0.244,0.834,503.7,3450.0,100.3,1644.0
D4->D3,cross-AS,temporal,graph,after_coral,0.521,0.046,0.388,0.604,365.0,1740.3,239.0,3353.7
D4->D3,cross-AS,temporal,graph,before_coral,0.387,0.146,0.193,0.297,179.7,1461.7,424.3,3632.3
D4->D3,cross-AS,temporal,stat,after_coral,0.739,0.017,0.508,0.642,388.0,440.0,216.0,4654.0
D4->D3,cross-AS,temporal,stat,before_coral,0.224,0.049,0.156,0.941,568.3,4376.3,35.7,717.7
