bucket,coral_kind,pair,source,target,feature_set,balance_fit,calibration,alignment,classifier,edge,view,macro_f1_mean,macro_f1_std,precision_normal_mean,precision_normal_std,precision_anomaly_mean,precision_anomaly_std,recall_normal_mean,recall_normal_std,recall_anomaly_mean,recall_anomaly_std,f1_normal_mean,f1_normal_std,f1_anomaly_mean,f1_anomaly_std,balanced_accuracy_mean,balanced_accuracy_std,TN_mean,TN_std,FP_mean,FP_std,FN_mean,FN_std,TP_mean,TP_std,n_rows_mean,n_rows_std,n_anomaly_mean,n_anomaly_std,n_normal_mean,n_normal_std,pr_auc_anomaly_mean,pr_auc_anomaly_std,ece_mean,ece_std,brier_mean,brier_std,fit_ms_mean,fit_ms_std,predict_target_ms_mean,predict_target_ms_std,predict_source_ms_mean,predict_source_ms_std,single_window_ms_median_mean,single_window_ms_median_std,single_window_ms_p95_mean,single_window_ms_p95_std,batched_ms_per_window_median_mean,batched_ms_per_window_median_std
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,mlp,,fusion_early,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.086006,0.000000,0.913994,0.000000,0.913994,0.000000,1098.803000,254.454589,2.563800,0.307925,1.274000,0.075908,1.030180,0.001126,2.163760,2.477259,0.000200,0.000000
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,mlp,,fusion_late_attention,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.203061,0.276989,0.887367,0.003262,0.866038,0.005792,1.906600,0.248681,0.182800,0.032182,,,0.000012,0.000000,0.000013,0.000001,0.000012,0.000000
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,mlp,,fusion_late_mean,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.076933,0.012766,0.913994,0.000000,0.913994,0.000000,0.000000,0.000000,,,,,0.000002,0.000000,0.000002,0.000000,0.000002,0.000000
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,mlp,,fusion_late_or,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.086006,0.000000,0.913994,0.000000,0.913994,0.000000,0.000000,0.000000,,,,,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,mlp,,graph,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.076933,0.012766,0.913994,0.000000,0.913994,0.000000,894.987200,112.123024,3.128800,0.186292,1.214600,0.069407,1.012680,0.006092,1.039380,0.012632,0.000180,0.000045
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,mlp,,stat,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.086006,0.000000,0.913994,0.000000,0.913994,0.000000,918.090800,177.951737,4.679400,2.544535,1.225400,0.111217,0.996560,0.051441,1.070320,0.065617,0.000180,0.000045
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,random_forest,,fusion_early,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.291117,0.140890,0.671456,0.024751,0.528501,0.033464,1226.484000,479.706903,123.754600,28.886516,121.873200,35.108640,73.212640,28.858645,98.868080,57.527035,0.016280,0.004489
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,random_forest,,fusion_late_attention,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.546111,0.270193,0.847146,0.007463,0.795276,0.013330,1.702000,0.061049,0.245000,0.061749,,,0.000012,0.000000,0.000013,0.000001,0.000012,0.000000
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,random_forest,,fusion_late_mean,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.546575,0.266735,0.627185,0.010510,0.466204,0.007234,0.000000,0.000000,,,,,0.000002,0.000000,0.000002,0.000000,0.000002,0.000000
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,random_forest,,fusion_late_or,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.543769,0.269295,0.711875,0.016179,0.581347,0.026028,0.000000,0.000000,,,,,0.000002,0.000000,0.000002,0.000000,0.000002,0.000000
