window_start,window_id,collector,innermost_core_size,rich_club_p75,rich_club_p90,rich_club_p95,symmetry_ratio,as_path_avg,as_path_max,edit_distance_avg,edit_distance_max,unique_as_path_max,flaps,nadas,vf_rate_delta,ego_filter_ratio,ego_origin_violations,std_edge_ixp_cosine_dist,unique_peers,clustering_avg_local,frac_p2p_edges,avg_ixp_cosine_dist,as_path_std,origin_changes,discovered_label,event_id,binary_label,provenance,incident_type
2016-10-21T14:45:00+00:00,20161021_1445,rrc04,42,0.0346017948495621,0.1047091592175152,0.201412622465254,199.6,4.590477818616976,14,1.912538949178038,12,27,240,482,-0.025634,0.806751,0,0.18392,9,0.5967880955946119,0.3042,0.664004,1.8029292484552373,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T14:50:00+00:00,20161021_1450,rrc04,42,0.0346126333131015,0.1047739344474672,0.201412622465254,199.6,4.257258064516129,11,1.7518999754841873,8,33,210,401,-0.001241,0.814068,0,0.183963,9,0.5968381892211899,0.3041,0.664004,1.5206173703964487,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T14:55:00+00:00,20161021_1455,rrc04,42,0.0346343102401803,0.104289156626506,0.2016404647983595,199.6,4.799085244597641,9,2.0886222350730086,8,33,284,411,-0.000241,0.85414,0,0.183831,9,0.5969763807566093,0.3041,0.663982,1.567232145441352,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T15:00:00+00:00,20161021_1500,rrc04,42,0.034547575836142,0.1047415468324912,0.2015265436318067,200.0,4.710815551008477,10,1.7916960162792517,8,28,1577,486,-0.000994,0.888727,0,0.183909,10,0.5968763940854155,0.3045,0.664,1.2790184382102754,30,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T15:05:00+00:00,20161021_1505,rrc04,42,0.0346180525448712,0.1048063220624433,0.201868307131465,199.6,4.384941127866143,10,1.881381209131582,8,31,276,391,-0.000287,0.794282,3,0.183957,8,0.6004355749754833,0.3042,0.663933,1.590902384597734,11,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T15:10:00+00:00,20161021_1510,rrc04,42,0.0347652947112893,0.1047415468324912,0.2015265436318067,199.8,4.056958441852565,10,1.7471321695760598,8,39,285,416,-0.000491,0.801582,0,0.184004,9,0.5965433493783384,0.304,0.664004,1.5142340832452643,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T15:15:00+00:00,20161021_1515,rrc04,42,0.0347762048932165,0.1048063220624433,0.201868307131465,199.8,4.11599815583218,11,1.8296500920810312,8,32,296,476,-0.000446,0.819055,3,0.184002,9,0.5967793433733434,0.304,0.663778,1.402363839336746,10,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T15:20:00+00:00,20161021_1520,rrc04,42,0.0346017948495621,0.1047091592175152,0.2015265436318067,199.8,4.395321318041144,10,1.801692865779928,8,33,261,471,-0.000615,0.823388,1,0.183956,10,0.5967993506707123,0.3042,0.664004,1.633460978114558,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T15:25:00+00:00,20161021_1525,rrc04,42,0.0346072140813318,0.1047415468324912,0.2016404647983595,199.4,4.386298013824481,12,1.9289940828402368,10,33,283,604,-0.000609,0.829902,0,0.184004,10,0.5970078520442668,0.3043,0.664016,1.5456957033306378,18,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T15:30:00+00:00,20161021_1530,rrc04,42,0.0346126333131015,0.1047739344474672,0.2015265436318067,199.8,4.367160543941546,13,1.9301470588235288,8,35,351,599,-0.000373,0.828741,0,0.184008,8,0.5969586678669512,0.3043,0.664004,1.3316288653052024,118,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T15:35:00+00:00,20161021_1535,rrc04,42,0.0346505679354894,0.1044497991967871,0.2003142183817753,199.4,4.400955723138953,11,1.693564690026954,8,31,408,427,-0.000222,0.847045,0,0.184024,9,0.5976739699720417,0.3046,0.663966,1.4769957380779624,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T15:40:00+00:00,20161021_1540,rrc04,42,0.0348643097975904,0.1046443839875631,0.2029840388619014,199.4,4.238722482858174,11,1.9416975690152447,8,35,771,584,-0.000278,0.832506,0,0.18397,9,0.5978410892196614,0.3034,0.66395,1.211005766842569,1,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T15:45:00+00:00,20161021_1545,rrc04,42,0.0348643097975904,0.1046119963725871,0.2028683784408975,199.4,4.253869384673462,11,1.825461370034408,8,32,316,419,-0.00085,0.80734,0,0.183996,8,0.5978641462481733,0.3032,0.66395,1.5089192540572194,15,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T15:50:00+00:00,20161021_1550,rrc04,42,0.0348202068852279,0.1035537848605577,0.2028683784408975,200.2,4.351244833221187,10,1.945230439442658,8,38,281,434,-0.000663,0.808453,0,0.184061,9,0.5968941299699273,0.3035,0.663962,1.6604285051018246,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T15:55:00+00:00,20161021_1555,rrc04,42,0.0347107438016528,0.1046443839875631,0.2028683784408975,199.4,4.866974179523885,11,2.2071582285649565,9,44,416,398,-0.000137,0.870457,0,0.184014,9,0.5976523280250855,0.3031,0.663993,1.565658061404197,3,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T16:00:00+00:00,20161021_1600,rrc04,42,0.0347325641655074,0.1041927710843373,0.2030996992829054,199.4,4.446936401240952,11,1.9310518369401104,8,39,339,525,-0.001637,0.854405,0,0.183984,9,0.5977987756084643,0.3032,0.663993,1.438063382961509,1,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
